Home Team,Away Team,Home xG,Away xG,Home Poss%,Away Poss%
Chelsea,Manchester United,0.94,0.68,61,39
Manchester City,West Ham,2.14,0.09,77,23
Chelsea,Tottenham,1.78,0.27,49,51
Crystal Palace,Newcastle United,1.76,0.16,44,56
Burnley,Bournemouth,2.34,1.76,42,58
Southampton,Aston Villa,3.03,0.47,46,54
Sheffield United,Brighton,1.66,1.06,66,34
Leicester City,Manchester City,0.72,1.67,32,68
Manchester United,Watford,1.74,0.29,58,42
Wolves,Norwich,3.25,0.36,40,60
Arsenal,Everton,1.34,2.66,51,49
Liverpool,West Ham,2.48,0.64,69,31
Norwich,Leicester City,0.59,1.43,43,57
Brighton,Crystal Palace,1.39,2.17,67,33
Bournemouth,Chelsea,1.48,1.98,27,73
Newcastle United,Burnley,1.12,0.62,54,46
West Ham,Southampton,2.79,0.87,34,66
Watford,Liverpool,2.71,0.21,29,71
Everton,Manchester United,2.41,1.13,44,56
Tottenham,Wolves,1.63,2.62,66,34
Liverpool,Bournemouth,1.89,1.3,75,25
Arsenal,West Ham,1.56,1.62,69,31
Crystal Palace,Watford,0.86,0.45,44,56
Sheffield United,Norwich,1.17,2.55,42,58
Southampton,Newcastle United,0.35,2.3,38,62
Wolves,Brighton,0.9,0.31,43,57
Burnley,Tottenham,3.33,0.38,45,55
Chelsea,Everton,2.03,0.45,60,40
Manchester United,Manchester City,1.74,0.59,28,72
Leicester City,Aston Villa,1.65,0.67,65,35
Aston Villa,Sheffield United,1.01,0.24,45,55
Manchester City,Arsenal,1.98,0.5,67,33
Norwich,Southampton,0.65,1.87,55,45
Tottenham,Manchester United,0.53,1.01,39,61
Watford,Leicester City,1.01,1.05,32,68
Brighton,Arsenal,0.67,0.7,41,59
West Ham,Wolves,0.44,1.06,42,58
Bournemouth,Crystal Palace,0.36,0.79,59,41
Newcastle United,Sheffield United,2.15,0.57,46,54
Aston Villa,Chelsea,1.57,1.14,26,74
Everton,Liverpool,0.62,0.66,30,70
Manchester City,Burnley,1.95,0.03,72,28
Leicester City,Brighton,0.51,0.34,66,34
Tottenham,West Ham,2.24,0.83,65,35
Wolves,Bournemouth,0.72,0.06,55,45
Norwich,Everton,0.38,0.65,47,53
Newcastle United,Aston Villa,0.66,1.23,52,48
Manchester United,Sheffield United,2.84,0.11,68,32
Liverpool,Crystal Palace,2.57,0.06,73,27
Burnley,Watford,0.96,0.5,55,45
Southampton,Arsenal,0.74,2.19,53,47
Chelsea,Manchester City,3.45,0.69,35,65
Aston Villa,Wolves,0.4,0.7,48,52
Watford,Southampton,0.37,1.34,48,52
Crystal Palace,Burnley,1.07,0.36,58,42
Brighton,Manchester United,0.31,1.21,38,62
Arsenal,Norwich,1.76,0.15,52,48
Bournemouth,Newcastle United,1.28,2.23,55,45
Everton,Leicester City,0.42,1.8,35,65
West Ham,Chelsea,1.38,1.58,29,71
Sheffield United,Tottenham,1.6,1.02,32,68
Manchester City,Liverpool,1.89,0.82,47,53
Norwich,Brighton,0.55,0.9,58,42
Leicester City,Crystal Palace,2.21,0.51,52,48
Manchester United,Bournemouth,1.91,0.76,69,31
Wolves,Arsenal,0.99,1.28,52,48
Chelsea,Watford,2.03,0.61,47,53
Burnley,Sheffield United,1.32,1.63,70,30
Newcastle United,West Ham,1.49,2.03,47,53
Liverpool,Aston Villa,1.08,0.69,71,29
Southampton,Manchester City,0.63,3.4,26,74
Tottenham,Everton,0.51,0.4,52,48
Crystal Palace,Chelsea,1.29,2.66,42,58
Watford,Norwich,0.73,1.13,43,57
Arsenal,Leicester City,1.29,1,37,63
Manchester City,Newcastle United,3.29,0.22,74,26
Sheffield United,Wolves,0.47,0.33,43,57
West Ham,Burnley,2,1.05,53,47
Brighton,Liverpool,2.36,2.62,44,56
Bournemouth,Tottenham,0.96,0.48,36,64
Everton,Southampton,0.67,1.54,39,61
Aston Villa,Manchester United,0.6,2.11,33,67
Norwich,West Ham,0.61,3.81,53,47
Watford,Newcastle United,2.37,1.49,48,52
Liverpool,Burnley,2.18,0.45,71,29
Sheffield United,Chelsea,2.01,1.18,24,76
Brighton,Manchester City,0.15,5.52,30,70
Wolves,Everton,2.11,0.29,55,45
Aston Villa,Crystal Palace,1.7,0.97,45,55
Tottenham,Arsenal,1.82,0.69,37,63
Bournemouth,Leicester City,1.78,1.66,44,56
Manchester United,Southampton,1.5,1.81,47,53
Chelsea,Norwich,3.05,0.06,68,32
Burnley,Wolves,0.77,1.29,47,53
Manchester City,Bournemouth,0.83,1.67,73,27
Newcastle United,Tottenham,1.06,1.75,53,47
Arsenal,Liverpool,1.32,2.22,31,69
Everton,Aston Villa,0.94,1.52,55,45
Leicester City,Sheffield United,3.06,0.66,54,46
Crystal Palace,Manchester United,0.57,1.9,41,59
Southampton,Brighton,2.34,0.67,68,32
West Ham,Watford,0.83,1.03,41,59
Norwich,Burnley,0.58,1.82,42,58
Bournemouth,Southampton,0.58,1.49,43,57
Tottenham,Leicester City,0.77,1.2,29,71
Brighton,Newcastle United,0.86,0.93,63,37
Sheffield United,Everton,0.47,0.62,51,49
Wolves,Crystal Palace,1.49,0.44,53,47
